zip,type,decommissioned,primary_city,state,county,timezone,country,latitude,longitude,irs_estimated_population_2014
801,PO BOX,0,St Thomas,VI,,,US,18.35,-64.93,0
802,STANDARD,0,St Thomas,VI,,,US,18.35,-64.93,0
803,PO BOX,0,St Thomas,VI,,,US,18.35,-64.93,0
804,PO BOX,0,St Thomas,VI,,,US,18.35,-64.93,0
805,PO BOX,0,St Thomas,VI,,,US,18.34,-64.93,0
820,STANDARD,0,Christiansted,VI,,,US,17.74,-64.7,0
821,PO BOX,0,Christiansted,VI,,,US,17.74,-64.7,0
822,PO BOX,0,Christiansted,VI,,,US,17.74,-64.7,0
823,PO BOX,0,Christiansted,VI,,,US,17.74,-64.7,0
824,PO BOX,0,Christiansted,VI,,,US,17.74,-64.7,0
830,STANDARD,0,St John,VI,,,US,18.33,-64.79,0
831,PO BOX,0,St John,VI,,,US,18.33,-64.79,0
840,STANDARD,0,Frederiksted,VI,,,US,17.71,-64.88,0
841,PO BOX,0,Frederiksted,VI,,,US,17.71,-64.88,0
850,STANDARD,0,Kingshill,VI,,,US,17.76,-64.82,0
851,PO BOX,0,Kingshill,VI,,,US,17.73,-64.8,0
901,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.47,-66.1,0
902,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
906,PO BOX,0,San Juan,PR,San Juan Municipio,,US,18.46,-66.09,0
907,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.45,-66.08,0
908,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
909,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.44,-66.07,0
910,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
911,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.45,-66.06,0
912,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.45,-66.06,0
913,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.45,-66.04,0
914,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
915,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.44,-66.05,0
916,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
917,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.42,-66.05,0
918,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.42,-66.07,0
919,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
920,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.41,-66.09,0
921,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.39,-66.09,0
922,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
923,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.41,-66.04,0
924,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.4,-66.01,0
925,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.4,-66.05,0
926,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.35,-66.05,0
927,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.4,-66.06,0
928,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
929,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
930,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
931,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
933,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
934,STANDARD,0,Fort Buchanan,PR,Guaynabo Municipio,,US,18.41,-66.12,0
935,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
936,PO BOX,0,San Juan,PR,San Juan Municipio,,US,18.4,-66.07,0
937,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
939,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
940,PO BOX,0,San Juan,PR,,,US,18.4,-66.06,0
949,STANDARD,0,Toa Baja,PR,Toa Baja Municipio,,US,18.44,-66.25,0
950,PO BOX,0,Toa Baja,PR,Dorado Municipio,,US,18.46,-66.23,0
951,PO BOX,0,Toa Baja,PR,Toa Baja Municipio,,US,18.43,-66.25,0
952,STANDARD,0,Sabana Seca,PR,Toa Baja Municipio,America/Puerto_Rico,US,18.42,-66.19,0
953,STANDARD,0,Toa Alta,PR,Toa Alta Municipio,America/Puerto_Rico,US,18.39,-66.25,0
954,PO BOX,0,Toa Alta,PR,Toa Alta,America/Puerto_Rico,US,18.39,-66.25,0
955,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
956,STANDARD,0,Bayamon,PR,Bayamón Municipio,America/Puerto_Rico,US,18.32,-66.17,0
957,STANDARD,0,Bayamon,PR,Bayamón Municipio,America/Puerto_Rico,US,18.37,-66.19,0
958,PO BOX,0,Bayamon,PR,BayamÃ³n,America/Puerto_Rico,US,18.28,-66.13,0
959,STANDARD,0,Bayamon,PR,Bayamón Municipio,America/Puerto_Rico,US,18.39,-66.15,0
960,PO BOX,0,Bayamon,PR,Bayamón Municipio,,US,18.42,-66.15,0
961,STANDARD,0,Bayamon,PR,Bayamón Municipio,America/Puerto_Rico,US,18.41,-66.17,0
962,STANDARD,0,Catano,PR,Cataño Municipio,America/Puerto_Rico,US,18.44,-66.15,0
963,PO BOX,0,Catano,PR,CataÃ±o,America/Puerto_Rico,US,18.43,-66.11,0
965,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.43,-66.11,0
966,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.4,-66.12,0
968,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.41,-66.1,0
969,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.38,-66.11,0
970,PO BOX,0,Guaynabo,PR,,,US,18.38,-66.11,0
971,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.32,-66.12,0
975,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
976,STANDARD,0,Trujillo Alto,PR,Trujillo Alto Municipio,America/Puerto_Rico,US,18.36,-66.01,0
977,PO BOX,0,Trujillo Alto,PR,,,US,18.36,-66.01,0
978,PO BOX,0,Saint Just,PR,San Juan,America/Puerto_Rico,US,18.37,-66.01,0
979,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.44,-66.03,0
981,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico,US,18.4,-65.98,0
982,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.41,-65.99,0
983,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.4,-65.98,0
984,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico,US,18.4,-65.98,0
985,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.41,-65.95,0
986,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico,US,18.4,-65.98,0
987,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.34,-65.94,0
988,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico,US,18.4,-65.98,0
1001,STANDARD,0,Agawam,MA,Hampden County,America/New_York,US,42.06,-72.61,15210
1002,STANDARD,0,Amherst,MA,Hampshire County,America/New_York,US,42.37,-72.52,16540
1003,PO BOX,0,Amherst,MA,Hampshire County,America/New_York,US,42.39,-72.52,184
1004,PO BOX,0,Amherst,MA,Hampshire County,America/New_York,US,42.37,-72.52,794
1005,STANDARD,0,Barre,MA,Worcester County,America/New_York,US,42.42,-72.1,4220
1007,STANDARD,0,Belchertown,MA,Hampshire County,America/New_York,US,42.27,-72.4,14000
1008,STANDARD,0,Blandford,MA,Hampden County,America/New_York,US,42.18,-72.93,1190
1009,PO BOX,0,Bondsville,MA,Hampden County,America/New_York,US,42.2,-72.34,1238
1010,STANDARD,0,Brimfield,MA,Hampden County,America/New_York,US,42.11,-72.2,3500
1011,STANDARD,0,Chester,MA,Hampden County,America/New_York,US,42.28,-72.98,1070
1012,STANDARD,0,Chesterfield,MA,Hampshire County,America/New_York,US,42.4,-72.85,620
1013,STANDARD,0,Chicopee,MA,Hampden County,America/New_York,US,42.15,-72.6,18710
1014,PO BOX,0,Chicopee,MA,Hampden County,America/New_York,US,42.17,-72.57,354
1020,STANDARD,0,Chicopee,MA,Hampden County,America/New_York,US,42.17,-72.57,25900
1021,PO BOX,0,Chicopee,MA,Hampden County,America/New_York,US,42.17,-72.57,566
1022,STANDARD,0,Chicopee,MA,Hampden County,America/New_York,US,42.2,-72.54,1810
1026,STANDARD,0,Cummington,MA,Hampshire County,America/New_York,US,42.46,-72.9,870
1027,STANDARD,0,Easthampton,MA,Hampshire County,America/New_York,US,42.26,-72.68,16210
1028,STANDARD,0,East Longmeadow,MA,Hampden County,America/New_York,US,42.06,-72.51,15300
1029,PO BOX,0,East Otis,MA,Berkshire County,America/New_York,US,42.17,-73.03,557
1030,STANDARD,0,Feeding Hills,MA,Hampden County,America/New_York,US,42.06,-72.67,11110
1031,STANDARD,0,Gilbertville,MA,Worcester County,America/New_York,US,42.33,-72.2,1000
1032,STANDARD,0,Goshen,MA,Hampshire County,America/New_York,US,42.46,-72.81,480
1033,STANDARD,0,Granby,MA,Hampshire County,America/New_York,US,42.26,-72.52,5970
1034,STANDARD,0,Granville,MA,Hampden County,America/New_York,US,42.06,-72.86,1900
1035,STANDARD,0,Hadley,MA,Hampshire County,America/New_York,US,42.35,-72.58,4570
1036,STANDARD,0,Hampden,MA,Hampden County,America/New_York,US,42.06,-72.41,4880
1037,PO BOX,0,Hardwick,MA,Worcester County,America/New_York,US,42.35,-72.2,779
1038,STANDARD,0,Hatfield,MA,Hampshire County,America/New_York,US,42.37,-72.6,2300
1039,STANDARD,0,Haydenville,MA,Hampshire County,America/New_York,US,42.39,-72.7,1220
1040,STANDARD,0,Holyoke,MA,Hampden County,America/New_York,US,42.21,-72.64,29530
1041,PO BOX,0,Holyoke,MA,Hampden County,America/New_York,US,42.21,-72.64,1408
1050,STANDARD,0,Huntington,MA,Hampshire County,America/New_York,US,42.23,-72.88,2280
1053,STANDARD,0,Leeds,MA,Hampshire County,America/New_York,US,42.35,-72.71,1470
1054,STANDARD,0,Leverett,MA,Franklin County,America/New_York,US,42.45,-72.5,1700
1056,STANDARD,0,Ludlow,MA,Hampden County,America/New_York,US,42.16,-72.48,18200
1057,STANDARD,0,Monson,MA,Hampden County,America/New_York,US,42.09,-72.31,7590
1059,PO BOX,0,North Amherst,MA,Hampshire County,America/New_York,US,42.4,-72.52,70
1060,STANDARD,0,Northampton,MA,Hampshire County,America/New_York,US,42.32,-72.63,11010
1061,PO BOX,0,Northampton,MA,Hampshire County,America/New_York,US,42.32,-72.67,469
1062,STANDARD,0,Florence,MA,Hampshire County,America/New_York,US,42.32,-72.67,10080
1063,UNIQUE,0,Northampton,MA,Hampshire County,America/New_York,US,42.32,-72.64,177
1066,PO BOX,0,North Hatfield,MA,Hampshire County,America/New_York,US,42.41,-72.66,402
1068,STANDARD,0,Oakham,MA,Worcester County,America/New_York,US,42.35,-72.05,1820
1069,STANDARD,0,Palmer,MA,Hampden County,America/New_York,US,42.16,-72.32,7170
1070,STANDARD,0,Plainfield,MA,Hampshire County,America/New_York,US,42.51,-72.91,540
1071,STANDARD,0,Russell,MA,Hampden County,America/New_York,US,42.18,-72.85,1440
1072,STANDARD,0,Shutesbury,MA,Franklin County,America/New_York,US,42.45,-72.4,1410
1073,STANDARD,0,Southampton,MA,Hampshire County,America/New_York,US,42.23,-72.73,5930
1074,PO BOX,0,South Barre,MA,Worcester County,America/New_York,US,42.39,-72.09,655
1075,STANDARD,0,South Hadley,MA,Hampshire County,America/New_York,US,42.26,-72.56,14660
1077,STANDARD,0,Southwick,MA,Hampden County,America/New_York,US,42.05,-72.76,8950
1079,PO BOX,0,Thorndike,MA,Hampden County,America/New_York,US,42.2,-72.33,992
1080,STANDARD,0,Three Rivers,MA,Hampden County,America/New_York,US,42.18,-72.37,2050
1081,STANDARD,0,Wales,MA,Hampden County,America/New_York,US,42.06,-72.21,1490
1082,STANDARD,0,Ware,MA,Hampshire County,America/New_York,US,42.25,-72.24,8830
1083,PO BOX,0,Warren,MA,Worcester County,America/New_York,US,42.21,-72.19,3037
1084,STANDARD,0,West Chesterfield,MA,Hampshire County,America/New_York,US,42.39,-72.88,137
1085,STANDARD,0,Westfield,MA,Hampden County,America/New_York,US,42.13,-72.75,34870
1086,PO BOX,0,Westfield,MA,Hampden County,America/New_York,US,42.13,-72.79,886
1088,STANDARD,0,West Hatfield,MA,Hampshire County,America/New_York,US,42.39,-72.64,500
1089,STANDARD,0,West Springfield,MA,Hampden County,America/New_York,US,42.12,-72.65,25370
1090,PO BOX,0,West Springfield,MA,Hampden County,America/New_York,US,42.12,-72.65,510
1092,PO BOX,0,West Warren,MA,Worcester County,America/New_York,US,42.19,-72.24,1332
1093,PO BOX,0,Whately,MA,Franklin County,America/New_York,US,42.44,-72.65,516
1094,PO BOX,0,Wheelwright,MA,Worcester County,America/New_York,US,42.35,-72.14,340
1095,STANDARD,0,Wilbraham,MA,Hampden County,America/New_York,US,42.13,-72.43,13840
1096,STANDARD,0,Williamsburg,MA,Hampshire County,America/New_York,US,42.4,-72.76,2370
1097,PO BOX,0,Woronoco,MA,Hampden County,America/New_York,US,42.18,-72.83,88
1098,STANDARD,0,Worthington,MA,Hampshire County,America/New_York,US,42.41,-72.93,1080
1101,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,2038
1102,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,0
1103,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.1,-72.59,1620
1104,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.13,-72.57,19130
1105,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.1,-72.58,7880
1106,STANDARD,0,Longmeadow,MA,Hampden County,America/New_York,US,42.04,-72.57,15390
1107,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.12,-72.61,8180
1108,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.08,-72.56,21610
1109,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,22040
1111,UNIQUE,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,0
1115,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,25
1116,PO BOX,0,Longmeadow,MA,Hampden County,America/New_York,US,42.04,-72.57,82
1118,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.09,-72.53,12650
1119,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.12,-72.51,10900
1128,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.09,-72.49,2580
1129,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.12,-72.49,6460
1133,UNIQUE,1,Springfield,MA,Hampden County,America/New_York,US,42.1,-72.59,0
1138,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,688
1139,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,467
1144,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,0
1151,STANDARD,0,Indian Orchard,MA,Hampden County,America/New_York,US,42.15,-72.51,7310
1152,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,0
1195,STANDARD,1,Springfield,MA,Hampden County,America/New_York,US,42.1,-72.58,0
1199,UNIQUE,0,Springfield,MA,Hampden County,America/New_York,US,42.12,-72.6,0
1201,STANDARD,0,Pittsfield,MA,Berkshire County,America/New_York,US,42.45,-73.26,38310
1202,PO BOX,0,Pittsfield,MA,Berkshire County,America/New_York,US,42.45,-73.26,1387
1203,PO BOX,0,Pittsfield,MA,Berkshire County,America/New_York,US,42.45,-73.26,0
1220,STANDARD,0,Adams,MA,Berkshire County,America/New_York,US,42.62,-73.11,7250
1222,STANDARD,0,Ashley Falls,MA,Berkshire County,America/New_York,US,42.05,-73.33,720
1223,STANDARD,0,Becket,MA,Berkshire County,America/New_York,US,42.33,-73.07,1940
1224,STANDARD,0,Berkshire,MA,Berkshire County,America/New_York,US,42.51,-73.2,160
1225,STANDARD,0,Cheshire,MA,Berkshire County,America/New_York,US,42.55,-73.15,2990
1226,STANDARD,0,Dalton,MA,Berkshire County,America/New_York,US,42.47,-73.16,5850
1227,PO BOX,0,Dalton,MA,Berkshire County,America/New_York,US,42.47,-73.16,262
1229,PO BOX,0,Glendale,MA,Berkshire County,America/New_York,US,42.28,-73.34,163
1230,STANDARD,0,Great Barrington,MA,Berkshire County,America/New_York,US,42.19,-73.35,6210
1235,STANDARD,0,Hinsdale,MA,Berkshire County,America/New_York,US,42.42,-73.07,2530
1236,STANDARD,0,Housatonic,MA,Berkshire County,America/New_York,US,42.27,-73.38,1450
1237,STANDARD,0,Lanesboro,MA,Berkshire County,America/New_York,US,42.51,-73.22,2680
1238,STANDARD,0,Lee,MA,Berkshire County,America/New_York,US,42.3,-73.25,5120
1240,STANDARD,0,Lenox,MA,Berkshire County,America/New_York,US,42.35,-73.28,4120
1242,PO BOX,0,Lenox Dale,MA,Berkshire County,America/New_York,US,42.33,-73.25,559
1243,PO BOX,0,Middlefield,MA,Hampshire County,America/New_York,US,42.35,-73.01,315
1244,PO BOX,0,Mill River,MA,Berkshire County,America/New_York,US,42.12,-73.26,328
1245,STANDARD,0,Monterey,MA,Berkshire County,America/New_York,US,42.18,-73.21,720
1247,STANDARD,0,North Adams,MA,Berkshire County,America/New_York,US,42.68,-73.11,11790
1252,PO BOX,0,North Egremont,MA,Berkshire County,America/New_York,US,42.17,-73.44,281
1253,STANDARD,0,Otis,MA,Berkshire County,America/New_York,US,42.21,-73.11,740
1254,STANDARD,0,Richmond,MA,Berkshire County,America/New_York,US,42.37,-73.36,1040
1255,STANDARD,0,Sandisfield,MA,Berkshire County,America/New_York,US,42.11,-73.13,620
1256,STANDARD,0,Savoy,MA,Berkshire County,America/New_York,US,42.56,-73.02,580
1257,STANDARD,0,Sheffield,MA,Berkshire County,America/New_York,US,42.1,-73.34,2060
1258,STANDARD,0,South Egremont,MA,Berkshire County,America/New_York,US,42.11,-73.46,600
